message;severity;node;stamp;location
"Odom->base_link transform - X: 80.21, Y: 14.54, Theta: 0.04";"20";"dummy_publisher";"1753022827.992474525";"/home/user1/ROS2_Workspace/ros2_ws/install/cone_stellation/lib/cone_stellation/dummy_publisher_node.py:publish_transforms:610"
"Publishing transforms (call #1000)";"20";"dummy_publisher";"1753022827.992062403";"/home/user1/ROS2_Workspace/ros2_ws/install/cone_stellation/lib/cone_stellation/dummy_publisher_node.py:publish_transforms:556"
"Current pose: x=78.97, y=12.41, theta=0.12";"20";"cone_slam";"1753022827.958465474";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:visualization_callback:534"
"Publishing 271 factors";"20";"cone_slam";"1753022827.958250126";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:visualization_callback:474"
"Added keyframe 43 with 15 cone observations";"20";"cone_slam";"1753022827.760100417";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
"ConeMapping::add_keyframe returned";"20";"cone_slam";"1753022827.760077496";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:213"
"About to call ConeMapping::add_keyframe for frame 43";"20";"cone_slam";"1753022827.759283425";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
"Added keyframe 42 with 15 cone observations";"20";"cone_slam";"1753022827.559879386";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
"ConeMapping::add_keyframe returned";"20";"cone_slam";"1753022827.559854772";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:213"
"About to call ConeMapping::add_keyframe for frame 42";"20";"cone_slam";"1753022827.558993971";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
"Publishing 42 keyframes";"20";"cone_slam";"1753022827.558204559";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:visualization_callback:554"
"Added keyframe 41 with 10 cone observations";"20";"cone_slam";"1753022827.309087341";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
"ConeMapping::add_keyframe returned";"20";"cone_slam";"1753022827.309049232";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:213"
"About to call ConeMapping::add_keyframe for frame 41";"20";"cone_slam";"1753022827.308141026";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
"Received cone detection with 13 cones";"20";"cone_slam";"1753022827.258945069";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:160"
"Added keyframe 40 with 9 cone observations";"20";"cone_slam";"1753022827.107869384";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
"ConeMapping::add_keyframe returned";"20";"cone_slam";"1753022827.107833319";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:213"
"About to call ConeMapping::add_keyframe for frame 40";"20";"cone_slam";"1753022827.107055108";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
"Publishing transforms (call #900)";"20";"dummy_publisher";"1753022826.970422591";"/home/user1/ROS2_Workspace/ros2_ws/install/cone_stellation/lib/cone_stellation/dummy_publisher_node.py:publish_transforms:556"
"Added keyframe 39 with 11 cone observations";"20";"cone_slam";"1753022826.909236600";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
"ConeMapping::add_keyframe returned";"20";"cone_slam";"1753022826.909204222";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:213"
"About to call ConeMapping::add_keyframe for frame 39";"20";"cone_slam";"1753022826.907498910";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
"Added keyframe 38 with 11 cone observations";"20";"cone_slam";"1753022826.659477061";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
"ConeMapping::add_keyframe returned";"20";"cone_slam";"1753022826.659452657";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:213"
"About to call ConeMapping::add_keyframe for frame 38";"20";"cone_slam";"1753022826.658868715";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
"Added keyframe 37 with 9 cone observations";"20";"cone_slam";"1753022826.408767070";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
"ConeMapping::add_keyframe returned";"20";"cone_slam";"1753022826.408726016";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:213"
"About to call ConeMapping::add_keyframe for frame 37";"20";"cone_slam";"1753022826.407379180";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
"Received cone detection with 8 cones";"20";"cone_slam";"1753022826.207597984";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:160"
"Added keyframe 36 with 8 cone observations";"20";"cone_slam";"1753022826.159444728";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
"ConeMapping::add_keyframe returned";"20";"cone_slam";"1753022826.159421567";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:213"
"About to call ConeMapping::add_keyframe for frame 36";"20";"cone_slam";"1753022826.158857420";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
"Publishing transforms (call #800)";"20";"dummy_publisher";"1753022825.950072370";"/home/user1/ROS2_Workspace/ros2_ws/install/cone_stellation/lib/cone_stellation/dummy_publisher_node.py:publish_transforms:556"
"Added keyframe 35 with 7 cone observations";"20";"cone_slam";"1753022825.908580986";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
"ConeMapping::add_keyframe returned";"20";"cone_slam";"1753022825.908548027";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:213"
"About to call ConeMapping::add_keyframe for frame 35";"20";"cone_slam";"1753022825.907716399";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:210"
"Added keyframe 34 with 9 cone observations";"20";"cone_slam";"1753022825.708877153";"/home/user1/ROS2_Workspace/ros2_ws/src/cone_stellation/src/cone_stellation/ros/cone_slam_node.cpp:cone_callback:239"
